start something,[-1.26653782]
bye for,[-0.55918816]
ever,[-0.55823061]
everything end,[-0.55819176]
t end,[-0.55628015]
so end,[-0.55473295]
very much,[-0.55028218]
consider,[-0.55006457]
on that,[-0.54907902]
if i,[-0.54778547]
girl end,[-0.54749163]
goodbye,[-0.54504582]
pay,[-0.54409701]
breakfast,[-0.54394994]
which,[-0.54190213]
welfare,[-0.5413744]
start could,[-0.54068458]
told you,[-0.5389875]
start d,[-0.53823418]
like to,[-0.53626226]
character,[-0.53380742]
waiting for,[-0.5302546]
start s,[-0.5300537]
originally,[-0.5262494]
lately,[-0.52544319]
cares,[-0.52527634]
t be,[-0.52524562]
fun,[-0.5248512]
what does,[-0.52435593]
movies,[-0.52351251]
knock,[-0.52325603]
start think,[-0.52318571]
this end,[-0.52176198]
judge02,[-0.52161781]
conservative,[-0.51928733]
doing so,[-0.51818988]
grammar end,[-0.51659675]
t know,[-0.51433802]
years,[-0.51392309]
point,[-0.51213661]
will end,[-0.51197875]
want,[-0.51089108]
about this,[-0.51074019]
hehehe,[-0.5105668]
course i,[-0.5099141]
are a,[-0.50867278]
have an,[-0.5084855]
feelings,[-0.50527312]
calling,[-0.50260256]
matter,[-0.50179937]
once,[-0.50088203]
should,[-0.50011714]
well no,[-0.49999594]
so are,[-0.49966554]
continue,[-0.49942233]
too much,[-0.49940433]
intelligent end,[-0.49874509]
hmm end,[-0.49737543]
hey,[-0.49609841]
woman,[-0.49524108]
judge03,[-0.49388948]
because it,[-0.49253429]
eat,[-0.49233709]
i enjoy,[-0.49137073]
interested end,[-0.49123096]
a living,[-0.49087313]
living end,[-0.49087313]
that we,[-0.4907895]
thing in,[-0.49057773]
start right,[-0.48990272]
do it,[-0.48597334]
pets,[-0.48489341]
school end,[-0.48471378]
what makes,[-0.48249485]
georgia,[-0.48208899]
into,[-0.48185426]
move,[-0.48139235]
start ummm,[-0.48126109]
ummm,[-0.48126109]
ummm i,[-0.48126109]
years end,[-0.48113918]
whether,[-0.48074052]
busy though,[-0.47763553]
i want,[-0.47650132]
control,[-0.47602502]
okay then,[-0.4758308]
hate you,[-0.47555997]
on end,[-0.47101181]
where do,[-0.47091282]
start because,[-0.4695908]
go end,[-0.46873716]
you feel,[-0.46841314]
start his,[-0.46738867]
to play,[-0.46678666]
know any,[-0.46656585]
lines,[-0.46478743]
t believe,[-0.46426292]
from i,[-0.46331762]
continue end,[-0.46192076]
movie but,[-0.46062976]
you not,[-0.45887661]
ago end,[-0.45857243]
shall we,[-0.45807996]
wierd,[-0.45806792]
everyone end,[-0.45787744]
does that,[-0.45747451]
start judge,[-0.4574021]
i use,[-0.45727423]
cat,[-0.45659255]
like you,[-0.4562002]
chip,[-0.45543893]
but a,[-0.45433129]
start goodbye,[-0.45430891]
riding,[-0.45273972]
with a,[-0.45223654]
not married,[-0.45222168]
bands,[-0.45113521]
s boring,[-0.45036332]
because end,[-0.45020235]
memory,[-0.44879038]
that a,[-0.44857495]
a film,[-0.44828423]
taught,[-0.44806914]
i are,[-0.44768336]
somebody,[-0.44750346]
bit boring,[-0.4471523]
is what,[-0.44712749]
whatever end,[-0.4469599]
this time,[-0.44617839]
oh well,[-0.44507068]
seen it,[-0.44474577]
all end,[-0.4445444]
start thaddeus,[-0.44374384]
thaddeus,[-0.44374384]
of things,[-0.4432845]
more than,[-0.44286721]
not yet,[-0.44219421]
home,[-0.44115379]
what a,[-0.44114577]
is,[-0.44101971]
city,[-0.43928609]
start my,[-0.43909844]
of this,[-0.43888466]
know a,[-0.43841643]
old,[-0.43829086]
the answer,[-0.43801637]
knows,[-0.43790629]
republican,[-0.43757513]
well now,[-0.43562393]
i try,[-0.43416149]
star,[-0.43258183]
gives,[-0.43242478]
greetings end,[-0.43239981]
i doing,[-0.4310942]
you seen,[-0.43107108]
states,[-0.43048493]
18,[-0.42813257]
you care,[-0.4278043]
bored,[-0.42721752]
strange,[-0.42677471]
robot,[-0.42656344]
tell me,[-0.42654813]
friend,[-0.42650551]
start again,[-0.42637824]
at times,[-0.42610019]
keep,[-0.42528394]
like that,[-0.42488288]
i meet,[-0.42401276]
comedy,[-0.42361481]
reason,[-0.42335826]
what end,[-0.42314431]
like mexican,[-0.42240795]
just kidding,[-0.42203299]
dream,[-0.42032159]
president,[-0.41996419]
doctor,[-0.41970626]
told,[-0.41914903]
wakey,[-0.41900125]
is the,[-0.41874643]
am from,[-0.41810589]
so that,[-0.41808]
bar,[-0.41788651]
a movie,[-0.41756641]
what did,[-0.41717839]
something brilliant,[-0.41669932]
mate,[-0.41639392]
now end,[-0.41629874]
m waiting,[-0.41618609]
maybe end,[-0.41606147]
mind end,[-0.41603428]
negative,[-0.41600436]
for now,[-0.41594651]
cool,[-0.41585604]
friends end,[-0.41573396]
why end,[-0.4152969]
something wrong,[-0.41498932]
i will,[-0.41481724]
often end,[-0.41359068]
n,[-0.41354978]
life,[-0.41338253]
stuff end,[-0.41333466]
matters,[-0.41301059]
i wish,[-0.41258107]
you have,[-0.41066557]
and end,[-0.40934787]
judge01 end,[-0.40920168]
india,[-0.40907411]
nbc,[-0.40896786]
aw,[-0.40896275]
about,[-0.40895434]
english end,[-0.40870211]
mess,[-0.40830151]
heard everything,[-0.40804747]
start many,[-0.40789458]
start huh,[-0.40484155]
watch the,[-0.40365137]
start hehehe,[-0.40286762]
too how,[-0.40236837]
at this,[-0.39937786]
be end,[-0.3992112]
proper,[-0.3990935]
hour,[-0.39888388]
meet a,[-0.39863217]
judge05,[-0.39810032]
yes interesting,[-0.39802928]
good at,[-0.39712317]
recent,[-0.39705645]
start earth,[-0.39672342]
weird end,[-0.39660162]
your name,[-0.39617572]
and see,[-0.39590601]
get end,[-0.3952078]
elizabeth,[-0.39437596]
elizabeth end,[-0.39437596]
hot,[-0.39308238]
opposite,[-0.39242701]
dunno,[-0.39156691]
dunno end,[-0.39156691]
dole,[-0.39148157]
talk,[-0.39088665]
huh,[-0.39064994]
o,[-0.39061935]
makes,[-0.38970589]
please go,[-0.38944045]
for you,[-0.38894107]
to you,[-0.38873637]
fun to,[-0.38787099]
subject,[-0.38735965]
ah all,[-0.3866867]
all things,[-0.3866867]
things start,[-0.3866867]
like wow,[-0.38610543]
thankyou end,[-0.38607592]
judge04 end,[-0.38594284]
reason end,[-0.38593147]
how old,[-0.38576109]
show end,[-0.38562839]
start correct,[-0.38464088]
m convinced,[-0.38404361]
wear,[-0.38376212]
talking about,[-0.38333183]
ahead,[-0.38309817]
my favorite,[-0.38233955]
s wrong,[-0.38226899]
would i,[-0.38181651]
y end,[-0.38176425]
if you,[-0.38145153]
start would,[-0.38131902]
i already,[-0.38098771]
everyone,[-0.38092675]
is somewhere,[-0.38080075]
but don,[-0.38040217]
need,[-0.38034522]
make,[-0.3802187]
s going,[-0.37992756]
who cares,[-0.37991495]
artificial,[-0.37990019]
start a,[-0.37982186]
deficit,[-0.37975202]
start your,[-0.37951171]
dress,[-0.37908392]
start be,[-0.37861196]
t matter,[-0.37824504]
yes you,[-0.37799503]
correct,[-0.37798076]
start about,[-0.37769107]
soon bye,[-0.37736972]
wierd end,[-0.3771617]
hey i,[-0.37690729]
anyone there,[-0.37689873]
is anyone,[-0.37689873]
start does,[-0.37673587]
child,[-0.37610787]
turn,[-0.37601045]
a game,[-0.37553436]
me that,[-0.37490794]
milk,[-0.37476045]
more to,[-0.37403658]
start it,[-0.37387727]
little one,[-0.37376834]
sleep well,[-0.37376834]
start sleep,[-0.37376834]
well little,[-0.37376834]
of stuff,[-0.37350619]
start he,[-0.37323671]
chil,[-0.37318379]
can be,[-0.37297127]
man end,[-0.37208454]
conversation has,[-0.37164781]
from boulder,[-0.37124288]
lately end,[-0.37117716]
hope so,[-0.37109316]
the president,[-0.37087446]
start greetings,[-0.37083666]
stay,[-0.3706837]
i watch,[-0.37024623]
ocean,[-0.37017725]
t remember,[-0.36995829]
music,[-0.36871822]
hello and,[-0.3687149]
perth,[-0.36814439]
the country,[-0.36719716]
do know,[-0.36506833]
have the,[-0.36491335]
do for,[-0.36474277]
doing well,[-0.36471344]
wonderful,[-0.3644654]
did too,[-0.36379269]
lot today,[-0.36291431]
mostly typing,[-0.36291431]
today mostly,[-0.36291431]
next question,[-0.36259723]
start next,[-0.36259723]
you were,[-0.36215445]
car,[-0.36205956]
or a,[-0.36202931]
tr,[-0.36183797]
kind of,[-0.36145236]
indeed,[-0.3613298]
positive end,[-0.36092266]
a normal,[-0.36067436]
normal one,[-0.36067436]
clothes,[-0.35972788]
judge02 end,[-0.35967189]
cindy,[-0.35965399]
mike,[-0.35957309]
start indeed,[-0.35942455]
is fun,[-0.35929957]
and welfare,[-0.35916195]
reform,[-0.35916195]
reform end,[-0.35916195]
welfare reform,[-0.35916195]
a end,[-0.35915941]
s because,[-0.3587784]
m going,[-0.35845052]
kinda busy,[-0.3580636]
thanks kinda,[-0.3580636]
busy end,[-0.35765554]
start everyone,[-0.35739075]
start nothing,[-0.35685033]
shall,[-0.35684084]
start umm,[-0.35631155]
umm,[-0.35631155]
when,[-0.35566302]
start sorry,[-0.35555917]
23,[-0.35519972]
problem,[-0.35510426]
i taught,[-0.35475767]
myself all,[-0.35475767]
taught myself,[-0.35475767]
winter,[-0.35261636]
able,[-0.3521939]
able to,[-0.3521939]
ahead end,[-0.35195131]
am talking,[-0.35168776]
say something,[-0.3516699]
temperatures,[-0.35118609]
temperatures end,[-0.35118609]
oh i,[-0.35103263]
certainly,[-0.35064298]
cannot,[-0.35056829]
is all,[-0.35031365]
pets end,[-0.35001259]
about politics,[-0.34996534]
s supposed,[-0.34964805]
t i,[-0.3493771]
pet,[-0.34922864]
originally from,[-0.34900375]
discussing,[-0.34883189]
solution,[-0.34882561]
i can,[-0.34839176]
i sometimes,[-0.34809458]
re boring,[-0.34807286]
call you,[-0.34806068]
but who,[-0.34771657]
start now,[-0.34767692]
your problem,[-0.34715632]
then that,[-0.34703918]
welcome judge,[-0.34694843]
hi to,[-0.34653743]
sleep,[-0.34610903]
drink,[-0.34596581]
learning,[-0.34585284]
bit wierd,[-0.34578987]
could but,[-0.34576284]
one the,[-0.34545742]
start i,[-0.34533231]
wrong,[-0.34523974]
and some,[-0.34483493]
it like,[-0.34425827]
weird,[-0.34422628]
heard that,[-0.34383416]
that end,[-0.34368428]
start stop,[-0.34328879]
uh,[-0.34234992]
as a,[-0.34232041]
start yea,[-0.34229918]
yea,[-0.34229918]
forget to,[-0.34189804]
wit,[-0.34168828]
response end,[-0.34152373]
start there,[-0.34152247]
three,[-0.34144698]
s great,[-0.34143399]
any more,[-0.3414259]
really didn,[-0.34140539]
yes how,[-0.34107591]
inside,[-0.34086793]
exercise,[-0.34064141]
start that,[-0.34048209]
exist,[-0.34042327]
georgia end,[-0.34030572]
for dole,[-0.34026395]
competition end,[-0.34001548]
born end,[-0.33983773]
or what,[-0.33945965]
can you,[-0.33922784]
all my,[-0.33921705]
how true,[-0.33907632]
what kind,[-0.33894172]
tried,[-0.33885559]
judge10,[-0.33869838]
you ve,[-0.33859724]
try,[-0.3383186]
alright cool,[-0.33815085]
movies end,[-0.33803511]
welcome,[-0.33793141]
there might,[-0.3378292]
fear,[-0.33710269]
deficit end,[-0.33676239]
a long,[-0.33666815]
solution to,[-0.33624434]
the solution,[-0.33624434]
alright,[-0.33510913]
friend end,[-0.33506777]
lives,[-0.33497209]
series,[-0.33474084]
dad end,[-0.33459303]
start give,[-0.334535]
goodbye end,[-0.33375559]
my phone,[-0.33351888]
plenty end,[-0.33308223]
start plenty,[-0.33308223]
time for,[-0.33227745]
not into,[-0.33219245]
country,[-0.3321113]
s there,[-0.33207392]
films lately,[-0.33179664]
good films,[-0.33179664]
judge03 end,[-0.33140776]
en,[-0.33139842]
voice,[-0.33113108]
no have,[-0.33090703]
to the,[-0.3308997]
you say,[-0.33050852]
you did,[-0.33049298]
than enough,[-0.33039974]
odd end,[-0.33018242]
repeating,[-0.33007847]
wanted,[-0.32988969]
bed,[-0.32963925]
ve heard,[-0.32957557]
want to,[-0.32877167]
have more,[-0.3287412]
re mean,[-0.3286571]
what if,[-0.32809858]
country is,[-0.32793131]
summer,[-0.32781118]
karate end,[-0.32776414]
you asked,[-0.32762238]
coach,[-0.32747458]
coach end,[-0.32747458]
so would,[-0.32747458]
the coach,[-0.32747458]
ru,[-0.32693775]
car end,[-0.32644914]
air,[-0.3263568]
meeting you,[-0.3262848]
nice meeting,[-0.3262848]
it will,[-0.32627637]
okay,[-0.32622416]
start okay,[-0.32588204]
was male,[-0.32537361]
judge10 end,[-0.32518744]
start judge10,[-0.32518744]
moment,[-0.32514046]
i must,[-0.32502205]
was not,[-0.32454361]
rule,[-0.32408786]
seen recently,[-0.32395949]
a song,[-0.32376174]
against,[-0.32363415]
western,[-0.3233901]
start 18,[-0.3232064]
a fact,[-0.32300063]
you wear,[-0.32299803]
a chil,[-0.32293532]
before when,[-0.32293532]
once before,[-0.32293532]
only been,[-0.32293532]
york once,[-0.32293532]
program end,[-0.32260912]
online end,[-0.32229778]
start y,[-0.32211491]
yes a,[-0.32200648]
you serious,[-0.3219777]
for sure,[-0.32196486]
us to,[-0.32195811]
understand end,[-0.32177058]
mark,[-0.32147799]
how they,[-0.32147415]
party,[-0.32137649]
tastes,[-0.32130413]
been trying,[-0.32021952]
created,[-0.31917094]
agree but,[-0.31903966]
good end,[-0.31852231]
up to,[-0.31822397]
you said,[-0.31807861]
bluntly,[-0.31763036]
bluntly it,[-0.31763036]
it bluntly,[-0.31763036]
it sucks,[-0.31763036]
sucks,[-0.31763036]
sucks end,[-0.31763036]
well to,[-0.31763036]
and diapers,[-0.31754292]
diapers,[-0.31754292]
morning,[-0.31752029]
it sok,[-0.31748937]
sok,[-0.31748937]
sok but,[-0.31748937]
t usually,[-0.31748937]
usually it,[-0.31748937]
s o,[-0.31706566]
loved,[-0.31698294]
one i,[-0.31675754]
an it,[-0.3167048]
see an,[-0.3167048]
me where,[-0.31656399]
start of,[-0.31628359]
not too,[-0.31626189]
a small,[-0.31614809]
being,[-0.31604741]
inside a,[-0.31603424]
thats a,[-0.31597949]
list,[-0.31544164]
depressing end,[-0.31514826]
of depressing,[-0.31514826]
nevermind end,[-0.31512093]
umm end,[-0.3150365]
calling from,[-0.31486192]
you calling,[-0.31486192]
one that,[-0.3147542]
cool i,[-0.31434389]
suppose it,[-0.31388975]
information,[-0.3137775]
alan,[-0.31375471]
no thanks,[-0.31291935]
lovely story,[-0.31276529]
story though,[-0.31276529]
know so,[-0.31267134]
sure if,[-0.31265174]
tender,[-0.3126155]
you later,[-0.31194876]
math,[-0.31194875]
however,[-0.31183809]
she was,[-0.31183371]
fun end,[-0.31168267]
states end,[-0.31143451]
setting,[-0.31113861]
grammar,[-0.31103353]
yeah he,[-0.31083275]
would be,[-0.30983523]
communications officer,[-0.30968687]
officer end,[-0.30968687]
gets,[-0.30966303]
to give,[-0.30947137]
hey end,[-0.30908201]
mess with,[-0.309017]
5 end,[-0.30890785]
didn,[-0.30842397]
didn t,[-0.30842397]
ho,[-0.30828047]
small one,[-0.30816402]
men,[-0.30780631]
m here,[-0.30744714]
salisbury,[-0.30729823]
wonder if,[-0.30721626]
you i,[-0.30710198]
be very,[-0.30689088]
those who,[-0.30686224]
crazy people,[-0.30681725]
many crazy,[-0.30681725]
in for,[-0.30674596]
rephrase,[-0.30670809]
on you,[-0.30656453]
language,[-0.3065443]
a shock,[-0.3057032]
arri,[-0.3057032]
of year,[-0.3057032]
shock,[-0.3057032]
shock to,[-0.3057032]
time of,[-0.3057032]
to arri,[-0.3057032]
year so,[-0.3057032]
never thought,[-0.30544061]
i have,[-0.30534887]
things judge,[-0.30521773]
so sure,[-0.30508442]
ella,[-0.30481451]
ah yes,[-0.30466178]
hello is,[-0.30445684]
say we,[-0.30438206]
about telling,[-0.30430873]
well well,[-0.30420315]
start chip,[-0.30367576]
in australia,[-0.30325648]
trash,[-0.30325373]
start girls,[-0.30318029]
say end,[-0.30297574]
that good,[-0.30294632]
web,[-0.30282092]
you got,[-0.30281278]
to read,[-0.30274539]
a pity,[-0.30274085]
pity,[-0.30274085]
languages,[-0.30268806]
same way,[-0.30215439]
thinking,[-0.30199731]
get the,[-0.30182672]
yoga end,[-0.30177482]
judge05 end,[-0.30170942]
chatter,[-0.30109782]
chatter end,[-0.30109782]
professional chatter,[-0.30109782]
start professional,[-0.30109782]
seems,[-0.30090159]
up on,[-0.30085972]
mate end,[-0.30065928]
anything end,[-0.30029004]
trouble,[-0.3002237]
play any,[-0.30021998]
wait end,[-0.30012406]
well okay,[-0.29972229]
lot end,[-0.29958735]
ashtanga,[-0.29937487]
nice here,[-0.29937365]
civil,[-0.29937275]
stop,[-0.29929214]
pretty young,[-0.29926078]
young end,[-0.29926078]
the end,[-0.29904638]
yeah so,[-0.29900682]
only thing,[-0.29880055]
are just,[-0.29822817]
much yep,[-0.29779243]
start yes,[-0.29719947]
guess so,[-0.29684615]
test is,[-0.29664294]
england,[-0.29657841]
wrong with,[-0.29652254]
and don,[-0.29641336]
start robots,[-0.29606417]
answering,[-0.29591203]
of one,[-0.29584084]
my name,[-0.29572012]
remember,[-0.29558051]
long story,[-0.2953574]
times end,[-0.29500068]
start cindy,[-0.29494313]
guy or,[-0.29492707]
or girl,[-0.29492547]
bring,[-0.29457234]
the things,[-0.29443204]
maybe a,[-0.29431335]
start h,[-0.29411173]
choose end,[-0.29406123]
plenty,[-0.29377318]
want me,[-0.29376561]
yoga teacher,[-0.29355951]
aw what,[-0.29319801]
what lets,[-0.29319801]
look end,[-0.29313101]
equipment,[-0.29216497]
fly when,[-0.29203551]
fun isn,[-0.29203551]
t time,[-0.29203551]
time fly,[-0.29203551]
episode,[-0.29191398]
brain end,[-0.29170545]
start these,[-0.29153851]
use them,[-0.2914589]
comes,[-0.29119731]
comes to,[-0.29119731]
boulder end,[-0.29105409]
start nevermind,[-0.29079604]
answer the,[-0.29064336]
to figure,[-0.29056039]
hi judge,[-0.29052519]
odd,[-0.29034925]
a robot,[-0.29020454]
know my,[-0.29004398]
of what,[-0.28997721]
start welcome,[-0.28996578]
is nice,[-0.28981827]
interesting comparison,[-0.28973106]
cindy end,[-0.28968727]
ch,[-0.28947234]
even mean,[-0.28937853]
to explain,[-0.28936535]
return,[-0.28932049]
you originally,[-0.2890681]
surprised end,[-0.28869368]
start uh,[-0.28861601]
surf,[-0.28859545]
backspace,[-0.28849659]
the backspace,[-0.28849659]
books end,[-0.28831893]
then what,[-0.28825046]
yeah well,[-0.28793127]
wayland,[-0.28747871]
outside,[-0.2871117]
old are,[-0.28695723]
subject end,[-0.28694184]
s my,[-0.28691716]
my paw,[-0.28691588]
paw,[-0.28691588]
paw end,[-0.28691588]
shot my,[-0.28691588]
start shot,[-0.28691588]
that there,[-0.28688077]
contest thing,[-0.28672501]
therapist,[-0.28654437]
start please,[-0.28654353]
i didn,[-0.28653057]
calls,[-0.28650668]
m end,[-0.28644991]
start m,[-0.28644991]
to that,[-0.28604043]
it and,[-0.28595288]
except for,[-0.2858035]
to put,[-0.2855831]
start aw,[-0.28552553]
o end,[-0.28537102]
what i,[-0.28527987]
happened then,[-0.28527966]
really want,[-0.28513764]
positive,[-0.28501298]
how come,[-0.2849441]
created by,[-0.28477127]
shut,[-0.28457297]
shut up,[-0.28457297]
ro,[-0.28426612]
s too,[-0.28403632]
music end,[-0.28390666]
or the,[-0.28389824]
start go,[-0.28389494]
reasoning,[-0.28385762]
city of,[-0.28368083]
planet,[-0.28361512]
someone who,[-0.28351602]
start in,[-0.28333882]
please continue,[-0.28316261]
sir,[-0.28293249]
want end,[-0.28286094]
waiting,[-0.28261696]
social,[-0.28200595]
perfect,[-0.28188546]
prize end,[-0.28143395]
because i,[-0.28139981]
fr,[-0.28137662]
make you,[-0.28135154]
in here,[-0.28103778]
like is,[-0.28097958]
the subject,[-0.28080605]
meaning of,[-0.28079235]
the meaning,[-0.28079235]
getting,[-0.28073596]
interesting hobbies,[-0.28058142]
h,[-0.28056138]
work with,[-0.28050318]
a real,[-0.28030138]
i spend,[-0.2802914]
also like,[-0.28027821]
is cool,[-0.2801918]
well end,[-0.27985298]
ok then,[-0.27984497]
well ok,[-0.27984497]
judge are,[-0.27960624]
talking,[-0.2794841]
shot,[-0.27936565]
i feel,[-0.27933007]
don t,[-0.27931489]
emotions end,[-0.27925247]
human emotions,[-0.27925247]
i heard,[-0.27919059]
was talking,[-0.27911978]
he is,[-0.2790116]
and weird,[-0.27899111]
computers,[-0.27893032]
to me,[-0.27878643]
grow up,[-0.27845154]
have lived,[-0.27830957]
ice,[-0.27819638]
her name,[-0.27773587]
start her,[-0.27773587]
it really,[-0.27757618]
ask lucy,[-0.27755031]
lucy,[-0.27755031]
lucy if,[-0.27755031]
start wanting,[-0.27748435]
wanting,[-0.27748435]
colorado,[-0.27729849]
network,[-0.2772034]
quickly,[-0.27677651]
have lots,[-0.27669984]
you will,[-0.27662463]
any pets,[-0.27645217]
and why,[-0.27641429]
website,[-0.27640917]
an elephant,[-0.27614346]
elephant,[-0.27614346]
think the,[-0.27604965]
don,[-0.27603298]
liked,[-0.27601715]
i refuse,[-0.27594765]
refuse,[-0.27594765]
refuse to,[-0.27594765]
last they,[-0.27582392]
t tel,[-0.27582392]
tel,[-0.27582392]
thing supposed,[-0.27582392]
this thing,[-0.27582392]
to last,[-0.27582392]
but i,[-0.27570649]
fighting,[-0.27557956]
get in,[-0.27547864]
year,[-0.27537417]
why ask,[-0.27532386]
be tough,[-0.27531794]
war end,[-0.27526794]
si,[-0.27519261]
sure you,[-0.27517632]
have no,[-0.27508169]
i dunno,[-0.27504441]
kelly,[-0.27499161]
kelly end,[-0.27499161]
yeah sort,[-0.27486397]
a coincidence,[-0.27485386]
coincidence,[-0.27485386]
coincidence you,[-0.27485386]
you would,[-0.27476146]
start l,[-0.27443061]
could not,[-0.27430011]
know at,[-0.27422554]
married and,[-0.27418076]
no children,[-0.27418076]
into the,[-0.27406482]
to see,[-0.27397306]
watch a,[-0.27389716]
wallace,[-0.27383367]
was nice,[-0.27350024]
botmaster,[-0.27340081]
for today,[-0.27316019]
boring talking,[-0.27290419]
situation end,[-0.2725575]
the situation,[-0.2725575]
proud,[-0.27212799]
question about,[-0.27202853]
your interests,[-0.27129632]
coffee,[-0.27114995]
ye,[-0.27109864]
thanks for,[-0.27093652]
opportunity,[-0.27090341]
ready for,[-0.27030547]
tea,[-0.27007602]
with people,[-0.27007082]
enough to,[-0.26959024]
what what,[-0.26950462]
what,[-0.26948124]
exceptions,[-0.2694555]
exceptions end,[-0.2694555]
few exceptions,[-0.2694555]
thinking that,[-0.26937358]
why don,[-0.26919432]
cant live,[-0.26917594]
em,[-0.26917594]
is an,[-0.26896074]
are pretty,[-0.26891083]
ok,[-0.26889833]
name is,[-0.26889267]
if only,[-0.26874062]
how far,[-0.26869778]
minimum,[-0.26867554]
day about,[-0.26863451]
somebody the,[-0.26863451]
to somebody,[-0.26863451]
much eh,[-0.26852814]
thanks,[-0.26837368]
times,[-0.26788242]
to hear,[-0.26784794]
start yoga,[-0.26765361]
character end,[-0.26741693]
on an,[-0.26717626]
formalities,[-0.26715565]
formalities over,[-0.26715565]
hello now,[-0.26715565]
the formalities,[-0.26715565]
it seems,[-0.26713247]
not talk,[-0.26698753]
do is,[-0.26698149]
be a,[-0.26688779]
start pretty,[-0.26680467]
most,[-0.26669928]
sounds like,[-0.26648241]
judge20,[-0.26640956]
judge30,[-0.26640956]
start shut,[-0.26632371]
recommend,[-0.2662355]
hugh however,[-0.26620203]
bad,[-0.26612881]
get back,[-0.26612251]
you male,[-0.26591604]
my friend,[-0.26575916]
m john,[-0.26565341]
bill,[-0.26543989]
thick,[-0.26541677]
so you,[-0.26516876]
it doesn,[-0.26512851]
alice end,[-0.26512842]
drive a,[-0.26512716]
funny end,[-0.26502785]
cozy,[-0.26502386]
start when,[-0.26493963]
be your,[-0.26491055]
okay end,[-0.26486419]
missed,[-0.26473138]
missed it,[-0.26473138]
michael,[-0.26470135]
college i,[-0.26462897]
help,[-0.26443182]
a positive,[-0.26419858]
narration,[-0.26410598]
why are,[-0.26397287]
in mind,[-0.26388047]
disciples,[-0.26371773]
disciples but,[-0.26371773]
he sp,[-0.26371773]
thaddeus was,[-0.26371773]
the disciples,[-0.26371773]
start with,[-0.26366866]
that be,[-0.26358688]
synthesizer,[-0.26346879]
sure,[-0.2633933]
riding end,[-0.26328719]
buy,[-0.26299747]
travel around,[-0.26283348]
aren t,[-0.26234761]
limits,[-0.26224387]
claw,[-0.26207394]
radio,[-0.26203451]
definitely end,[-0.26188381]
competition,[-0.26179368]
may be,[-0.26176829]
knock knock,[-0.26162801]
certainly end,[-0.26161583]
was communications,[-0.26148627]
what shall,[-0.26134024]
help me,[-0.26131277]
better to,[-0.26120584]
finished,[-0.26099738]
finished talking,[-0.26099738]
have we,[-0.26099738]
we finished,[-0.26099738]
are those,[-0.26098095]
a very,[-0.26086895]
the first,[-0.26078985]
wanted to,[-0.26073945]
really that,[-0.26064164]
start judge03,[-0.26053308]
played by,[-0.26032907]
alan turing,[-0.2601977]
turing end,[-0.2601977]
robots end,[-0.26007602]
bz,[-0.25998672]
bz end,[-0.25998672]
you bz,[-0.25998672]
adele,[-0.25991071]
t say,[-0.25979922]
six,[-0.2597087]
remembered,[-0.25964335]
laundry,[-0.25932577]
special reason,[-0.25929576]
ashtanga iyengar,[-0.2592266]
iyengar,[-0.2592266]
iyengar end,[-0.2592266]
kind ashtanga,[-0.2592266]
to describe,[-0.25921229]
head,[-0.25919482]
basic,[-0.25900336]
